% Model:              HMD_med2_10MHz_100_output.mph
% Version:            COMSOL 4.4.0.195
% Date:               Jul 23 2014, 09:17
% Dimension:          3
% Nodes:              303
% Expressions:        1
% Description:        
% Length unit:        m
% x                       y                        z                        abs(emw.Hx) (A/m) @ freq=1e7
55.8614357137             55.8614357137            -2                       7.51312825738692E-7
56.5685424949             56.5685424949            -2                       7.430508025780755E-7
57.2756492761             57.2756492761            -2                       7.428261646568504E-7
57.9827560573             57.9827560573            -2                       7.244530263438289E-7
58.6898628385             58.6898628385            -2                       7.066401833457038E-7
59.3969696197             59.3969696197            -2                       6.892415878177711E-7
60.1040764009             60.1040764009            -2                       6.721166240768811E-7
60.811183182              60.811183182             -2                       6.73558623736048E-7
61.5182899632             61.5182899632            -2                       6.662210703714702E-7
62.2253967444             62.2253967444            -2                       6.551529727334649E-7
62.9325035256             62.9325035256            -2                       6.494937414958302E-7
63.6396103068             63.6396103068            -2                       6.416126179279257E-7
64.346717088              64.346717088             -2                       6.225961707195382E-7
65.0538238692             65.0538238692            -2                       6.166133651368447E-7
65.7609306503             65.7609306503            -2                       6.020313761429379E-7
66.4680374315             66.4680374315            -2                       5.989755189018407E-7
67.1751442127             67.1751442127            -2                       5.876456303822791E-7
67.8822509939             67.8822509939            -2                       5.747711119222357E-7
68.5893577751             68.5893577751            -2                       5.826025327645298E-7
69.2964645563             69.2964645563            -2                       5.685325900660024E-7
70.0035713375             70.0035713375            -2                       5.624355377553717E-7
70.7106781187             70.7106781187            -2                       5.537173860210722E-7
0                         0                        -7                       0.3246578359668521
0.7071067812              0.7071067812             -7                       0.06393309920705664
1.4142135624              1.4142135624             -7                       0.07032879461061185
2.1213203436              2.1213203436             -7                       0.01426323662792128
2.8284271247              2.8284271247             -7                       0.005566605012836099
3.5355339059              3.5355339059             -7                       0.0036367498140850323
4.2426406871              4.2426406871             -7                       0.0023817530605105184
4.9497474683              4.9497474683             -7                       0.001703294668223627
5.6568542495              5.6568542495             -7                       0.001266082788622809
6.3639610307              6.3639610307             -7                       9.864325938775632E-4
7.0710678119              7.0710678119             -7                       7.691523311867878E-4
7.7781745931              7.7781745931             -7                       6.117510040622099E-4
8.4852813742              8.4852813742             -7                       4.920109856875162E-4
9.1923881554              9.1923881554             -7                       3.979052410989286E-4
9.8994949366              9.8994949366             -7                       3.332717077659926E-4
10.6066017178             10.6066017178            -7                       2.75765167150009E-4
11.313708499              11.313708499             -7                       2.2439317185527356E-4
12.0208152802             12.0208152802            -7                       1.896988200511889E-4
12.7279220614             12.7279220614            -7                       1.5746522790170963E-4
13.4350288425             13.4350288425            -7                       1.3245496641454526E-4
14.1421356237             14.1421356237            -7                       1.1067783036616649E-4
14.8492424049             14.8492424049            -7                       9.778008072034748E-5
15.5563491861             15.5563491861            -7                       7.971276311726373E-5
16.2634559673             16.2634559673            -7                       6.925963811771772E-5
16.9705627485             16.9705627485            -7                       5.7988925881201224E-5
17.6776695297             17.6776695297            -7                       5.0152959544735827E-5
18.3847763109             18.3847763109            -7                       4.537781699742062E-5
19.091883092              19.091883092             -7                       3.6808845872379435E-5
19.7989898732             19.7989898732            -7                       3.243697520302463E-5
20.5060966544             20.5060966544            -7                       2.7193128050552826E-5
21.2132034356             21.2132034356            -7                       2.4846490298761432E-5
21.9203102168             21.9203102168            -7                       2.099693309229347E-5
22.627416998              22.627416998             -7                       1.831638432210608E-5
23.3345237792             23.3345237792            -7                       1.5832801964693818E-5
24.0416305603             24.0416305603            -7                       1.3869370759135433E-5
24.7487373415             24.7487373415            -7                       1.2009959228066885E-5
25.4558441227             25.4558441227            -7                       1.0464114704604256E-5
26.1629509039             26.1629509039            -7                       9.07838822218525E-6
26.8700576851             26.8700576851            -7                       7.743177880911488E-6
27.5771644663             27.5771644663            -7                       6.975084600259583E-6
28.2842712475             28.2842712475            -7                       6.032949181996605E-6
